Date,Open,High,Low,Close,Adj Close,Volume
2020/2/19,252,252,244,252,243.936005,643200
2020/2/20,252,254,248,254,245.871994,549200
2020/2/21,252,254,250,254,245.871994,321400
2020/2/24,254,256,250,256,247.807999,356500
2020/2/25,260,260,254,260,251.679993,311100
2020/2/26,260,260,256,260,251.679993,207300
2020/2/27,258,260,254,260,251.679993,162700
2020/2/28,262,262,254,254,245.871994,381800
2020/3/2,260,260,250,256,247.807999,210800
2020/3/3,256,258,256,258,249.744003,147900
2020/3/4,258,262,258,260,251.679993,282000
2020/3/5,260,260,258,260,251.679993,169600
2020/3/6,272,272,256,260,251.679993,98800
2020/3/9,270,274,258,258,249.744003,115800
2020/3/10,260,260,252,258,249.744003,207100
2020/3/11,256,256,250,256,247.807999,228100
2020/3/12,254,254,250,252,243.936005,289500
2020/3/13,252,252,244,248,240.063995,352900
2020/3/16,248,248,240,244,236.192001,73800
2020/3/17,246,246,240,242,234.255997,111700
2020/3/18,246,246,236,242,234.255997,514700
2020/3/19,240,240,226,226,218.768005,705500
2020/3/20,218,218,212,216,209.087997,687000
2020/3/23,218,222,218,222,214.895996,2300
2020/3/24,222,222,208,208,201.343994,34900
2020/3/26,199,208,198,208,201.343994,54500
2020/3/27,206,230,206,228,220.703995,248400
2020/3/30,228,232,226,228,220.703995,20400
2020/3/31,228,260,228,260,251.679993,41600
2020/4/1,260,260,250,254,245.871994,25500
2020/4/2,260,260,250,256,247.807999,5000
2020/4/3,260,260,256,256,247.807999,1200
2020/4/6,254,260,254,260,251.679993,2800
2020/4/7,258,260,256,256,247.807999,3800
2020/4/8,256,260,242,260,251.679993,12400
2020/4/9,256,256,242,256,247.807999,5800
2020/4/13,256,258,240,250,242,12400
2020/4/14,250,260,236,254,245.871994,113300
2020/4/15,254,256,244,252,243.936005,7400
2020/4/16,244,252,236,236,228.447998,18400
2020/4/17,248,256,238,246,238.128006,22600
2020/4/20,230,250,230,250,242,4400
2020/4/21,234,248,234,244,236.192001,52600
2020/4/22,228,244,228,238,230.384003,103400
2020/4/23,244,244,244,244,236.192001,100
2020/4/24,244,258,228,228,220.703995,35700
2020/4/27,244,250,214,236,228.447998,143900
2020/4/28,240,250,222,238,230.384003,32700
2020/4/29,240,248,230,240,232.319992,9800
2020/4/30,232,242,224,238,230.384003,174200
2020/5/4,236,240,224,228,220.703995,190700
2020/5/5,224,224,220,220,212.959991,154400
2020/5/6,220,228,206,210,203.279999,342900
2020/5/8,210,218,202,216,209.087997,63600
2020/5/11,216,218,206,218,211.024002,46700
2020/5/12,216,218,208,218,211.024002,117100
2020/5/13,212,218,206,218,211.024002,248200
2020/5/14,218,220,210,218,211.024002,68000
2020/5/15,218,242,212,226,218.768005,478600
2020/5/18,238,238,216,228,220.703995,118600
2020/5/19,224,248,224,240,232.319992,264700
2020/5/20,240,254,230,234,226.511993,266800
2020/5/26,240,246,224,242,234.255997,160400
2020/5/27,242,270,226,242,234.255997,521400
2020/5/28,242,250,226,236,228.447998,126300
2020/5/29,236,236,230,236,228.447998,28000
2020/6/2,232,242,226,240,232.319992,77700
2020/6/3,234,240,234,240,232.319992,78500
2020/6/4,232,240,226,240,232.319992,86900
2020/6/5,236,246,228,244,236.192001,114700
2020/6/8,244,256,236,254,245.871994,93200
2020/6/9,254,254,238,248,240.063995,232900
2020/6/10,248,260,232,238,230.384003,215300
2020/6/11,238,238,222,238,230.384003,179900
2020/6/12,224,240,222,234,226.511993,219800
2020/6/15,234,248,226,244,236.192001,94100
2020/6/16,244,246,230,246,238.128006,63200
2020/6/17,244,254,236,236,228.447998,57300
2020/6/18,240,246,230,236,228.447998,506900
2020/6/19,240,242,230,242,234.255997,178300
2020/6/22,242,242,230,240,232.319992,315000
2020/6/23,240,240,228,234,226.511993,42700
2020/6/24,234,238,224,234,226.511993,144500
2020/6/25,230,230,222,222,214.895996,129000
2020/6/26,228,236,220,224,216.832001,312600
2020/6/29,220,226,214,224,216.832001,94700
2020/6/30,226,226,212,212,205.216003,591400
2020/7/1,218,218,198,212,205.216003,532800
2020/7/2,216,220,210,214,207.151993,251300
2020/7/3,214,222,208,216,209.087997,275300
2020/7/6,218,220,212,220,212.959991,329100
2020/7/7,222,236,208,228,220.703995,951000
2020/7/8,230,232,228,232,224.576004,111600
2020/7/9,232,236,224,228,220.703995,289800
2020/7/10,224,234,224,228,220.703995,242300
2020/7/13,232,238,228,232,224.576004,126300
